L   1	[{"item":2,"quantity":15}]
L5642	[{"item": 17, "quantity": 140}, {"item": 8, "quantity": 26}, {"item": 18, "quantity": 6}]
L5645	[{"item": 17, "quantity": 85}]
L5648	[{"item": 6, "quantity": 300}, {"item": 2, "quantity": 300}]
L5649	[{"item": 17, "quantity": 45}]
L5652	[{"item": 8, "quantity": 10}, {"item": 19, "quantity": 9}]
L5655	[{"item": 21, "quantity": 18}, {"item": 28, "quantity": 40}]
L5657	[{"item": 25, "quantity": 126}]
L5662	[{"item": 9, "quantity": 2}]
L5664	[{"item": 17, "quantity": 147}, {"item": 19, "quantity": 9}]
L5667	[{"item": 7, "quantity": 10}]
L5668	[{"item": 3, "quantity": 4}, {"item": 28, "quantity": 37}, {"item": 19, "quantity": 30}]
L5671	[{"item": 25, "quantity": 100}]
L5673	[{"item": 3, "quantity": 22}]
L5677	[{"item": 29, "quantity": 112}]
L5680	[{"item": 29, "quantity": 153}]
L5681	[{"item": 29, "quantity": 171}]
L5684	[{"item": 3, "quantity": 24}]
L5687	[{"item": 29, "quantity": 135}, {"item": 1, "quantity": 95}, {"item": 16, "quantity": 80}]
L5690	[{"item": 17, "quantity": 57}, {"item": 18, "quantity": 3}]
L5692	[{"item": 17, "quantity": 56}, {"item": 19, "quantity": 20}]
L5695	[{"item": 20, "quantity": 8}, {"item": 25, "quantity": 25}]
L5697	[{"item": 20, "quantity": 20}]
L5700	[{"item": 26, "quantity": 65}]
L5703	[{"item": 29, "quantity": 145}]
L5707	[{"item": 9, "quantity": 10}]
L5709	[{"item": 20, "quantity": 40}, {"item": 19, "quantity": 24}]
L5713	[{"item": 16, "quantity": 10}]
L5715	[{"item": 2, "quantity": 150}, {"item": 6, "quantity": 150}]
L5719	[{"item": 17, "quantity": 132}, {"item": 7, "quantity": 12}]
L5723	[{"item": 25, "quantity": 70}]
L5726	[{"item": 21, "quantity": 40}, {"item": 27, "quantity": 72}]
L5730	[{"item": 19, "quantity": 10}, {"item": 25, "quantity": 62}]
L5731	[{"item": 29, "quantity": 82}, {"item": 17, "quantity": 77}]
L5733	[{"item": 20, "quantity": 30}, {"item": 18, "quantity": 6}]
L5737	[{"item": 18, "quantity": 11}]
L5740	[{"item": 20, "quantity": 20}, {"item": 25, "quantity": 50}]
L5745	[{"item": 19, "quantity": 10}, {"item": 29, "quantity": 35}, {"item": 17, "quantity": 50}]
L5746	[{"item": 25, "quantity": 69}]
L5750	[{"item": 18, "quantity": 8}, {"item": 17, "quantity": 74}]
L5752	[{"item": 20, "quantity": 50}]
L5754	[{"item": 3, "quantity": 10}, {"item": 8, "quantity": 10}]
L5759	[{"item": 8, "quantity": 30}]
L5761	[{"item": 7, "quantity": 30}, {"item": 17, "quantity": 78}]
L5763	[{"item": 27, "quantity": 30}, {"item": 18, "quantity": 9}, {"item": 29, "quantity": 80}]
L5767	[{"item": 18, "quantity": 2}, {"item": 26, "quantity": 18}]
L5769	[{"item": 17, "quantity": 127}]
L5773	[{"item": 6, "quantity": 150}, {"item": 5, "quantity": 150}]
L5775	[{"item": 19, "quantity": 40}, {"item": 21, "quantity": 20}]
L5779	[{"item": 25, "quantity": 65}]
L5781	[{"item": 20, "quantity": 15}, {"item": 25, "quantity": 30}, {"item": 19, "quantity": 15}]
L5784	[{"item": 19, "quantity": 10}, {"item": 25, "quantity": 66}]
L5789	[{"item": 24, "quantity": 3}, {"item": 22, "quantity": 2}, {"item": 19, "quantity": 21}]
L5793	[{"item": 26, "quantity": 12}, {"item": 3, "quantity": 20}]
L5795	[{"item": 25, "quantity": 90}, {"item": 19, "quantity": 22}]
L5797	[{"item": 27, "quantity": 43}, {"item": 28, "quantity": 41}]
L5802	[{"item": 20, "quantity": 20}, {"item": 8, "quantity": 28}]
L5805	[{"item": 18, "quantity": 5}]
L5808	[{"item": 19, "quantity": 15}, {"item": 25, "quantity": 30}]
L5809	[{"item": 17, "quantity": 45}]
L5813	[{"item": 25, "quantity": 120}]
L5816	[{"item": 3, "quantity": 15}]
L5819	[{"item": 28, "quantity": 90}]
L5822	[{"item": 17, "quantity": 50}, {"item": 20, "quantity": 15}, {"item": 28, "quantity": 24}]
L5824	[{"item": 8, "quantity": 20}]
L5828	[{"item": 17, "quantity": 156}]
L5829	[{"item": 9, "quantity": 10}, {"item": 17, "quantity": 73}]
L5832	[{"item": 24, "quantity": 4}, {"item": 17, "quantity": 50}]
L5835	[{"item": 19, "quantity": 35}, {"item": 25, "quantity": 63}, {"item": 21, "quantity": 20}]
L5837	[{"item": 8, "quantity": 20}]
L5841	[{"item": 21, "quantity": 40}, {"item": 19, "quantity": 15}]
L5844	[{"item": 22, "quantity": 4}, {"item": 19, "quantity": 40}]
L5847	[{"item": 24, "quantity": 2}, {"item": 17, "quantity": 48}, {"item": 21, "quantity": 70}]
L5849	[{"item": 28, "quantity": 71}, {"item": 18, "quantity": 2}]
L5851	[{"item": 21, "quantity": 15}, {"item": 28, "quantity": 60}]
L5854	[{"item": 3, "quantity": 14}]
L5857	[{"item": 17, "quantity": 30}, {"item": 18, "quantity": 3}, {"item": 3, "quantity": 15}]
L5860	[{"item": 17, "quantity": 26}]
L5862	[{"item": 7, "quantity": 15}, {"item": 25, "quantity": 14}, {"item": 17, "quantity": 100}]
L5865	[{"item": 20, "quantity": 50}]
L5868	[{"item": 22, "quantity": 8}, {"item": 17, "quantity": 74}]
L5870	[{"item": 7, "quantity": 20}, {"item": 17, "quantity": 82}, {"item": 25, "quantity": 21}]
L5871	[{"item": 17, "quantity": 51}]
L5873	[{"item": 17, "quantity": 97}]
L5874	[{"item": 24, "quantity": 7}, {"item": 25, "quantity": 69}]
L5877	[{"item": 2, "quantity": 100}, {"item": 18, "quantity": 2}]
L5878	[{"item": 25, "quantity": 33}]
L5879	[{"item": 21, "quantity": 30}, {"item": 8, "quantity": 30}, {"item": 17, "quantity": 72}]
L5880	[{"item": 25, "quantity": 27}, {"item": 17, "quantity": 50}]
L5882	[{"item": 24, "quantity": 3}]
L5884	[{"item": 19, "quantity": 16}, {"item": 16, "quantity": 9}, {"item": 25, "quantity": 3}]
L5885	[{"item": 25, "quantity": 37}]
L5887	[{"item": 19, "quantity": 7}, {"item": 25, "quantity": 22}]
L5889	[{"item": 18, "quantity": 2}]
L5890	[{"item": 17, "quantity": 90}, {"item": 19, "quantity": 20}]
L5893	[{"item": 22, "quantity": 2}, {"item": 18, "quantity": 4}]
L5896	[{"item": 17, "quantity": 245}]
L5897	[{"item": 16, "quantity": 23}, {"item": 27, "quantity": 36}, {"item": 19, "quantity": 20}]
L5900	[{"item": 18, "quantity": 1}, {"item": 17, "quantity": 88}]
L5902	[{"item": 25, "quantity": 18}]
L5903	[{"item": 17, "quantity": 88}, {"item": 29, "quantity": 100}]
L5906	[{"item": 25, "quantity": 58}]
L5907	[{"item": 20, "quantity": 54}]
L5909	[{"item": 1, "quantity": 75}]
L5910	[{"item": 29, "quantity": 48}, {"item": 19, "quantity": 8}, {"item": 25, "quantity": 8}]
L5913	[{"item": 25, "quantity": 137}]
L5916	[{"item": 18, "quantity": 6}, {"item": 29, "quantity": 40}]
L5917	[{"item": 22, "quantity": 2}]
L5918	[{"item": 17, "quantity": 131}]
L5921	[{"item": 29, "quantity": 162}]
L5922	[{"item": 17, "quantity": 61}]
L5924	[{"item": 25, "quantity": 24}, {"item": 29, "quantity": 32}]
L5925	[{"item": 18, "quantity": 8}]
L5928	[{"item": 20, "quantity": 30}]
L5930	[{"item": 25, "quantity": 12}]
L5931	[{"item": 19, "quantity": 33}]
L5932	[{"item": 17, "quantity": 86}]
L5936	[{"item": 25, "quantity": 27}, {"item": 17, "quantity": 50}]
L5939	[{"item": 25, "quantity": 24}, {"item": 19, "quantity": 12}]
L5940	[{"item": 25, "quantity": 44}, {"item": 17, "quantity": 14}]
L5943	[{"item": 29, "quantity": 78}, {"item": 26, "quantity": 28}]
L5944	[{"item": 25, "quantity": 24}, {"item": 17, "quantity": 61}]
L5946	[{"item": 24, "quantity": 1}, {"item": 17, "quantity": 56}, {"item": 25, "quantity": 32}]
L5947	[{"item": 20, "quantity": 10}]
L5949	[{"item": 17, "quantity": 75}]
L5950	[{"item": 18, "quantity": 5}, {"item": 17, "quantity": 55}]
L5953	[{"item": 17, "quantity": 45}]
L5956	[{"item": 25, "quantity": 27}]
L5960	[{"item": 29, "quantity": 62}]
L5962	[{"item": 29, "quantity": 45}]
L5963	[{"item": 20, "quantity": 16}, {"item": 25, "quantity": 4}, {"item": 16, "quantity": 4}]
L5966	[{"item": 29, "quantity": 155}]
L5969	[{"item": 25, "quantity": 40}]
L5970	[{"item": 24, "quantity": 2}, {"item": 26, "quantity": 10}, {"item": 17, "quantity": 77}]
L5973	[{"item": 18, "quantity": 5}, {"item": 24, "quantity": 2}]
L5975	[{"item": 25, "quantity": 50}, {"item": 16, "quantity": 15}]
L5978	[{"item": 3, "quantity": 40}]
L5981	[{"item": 25, "quantity": 30}, {"item": 24, "quantity": 3}]
L5983	[{"item": 16, "quantity": 18}, {"item": 25, "quantity": 84}]
L5987	[{"item": 18, "quantity": 4}, {"item": 21, "quantity": 10}]
L5988	[{"item": 29, "quantity": 84}]
L5991	[{"item": 2, "quantity": 40}, {"item": 6, "quantity": 30}, {"item": 5, "quantity": 30}]
L5994	[{"item": 29, "quantity": 80}, {"item": 25, "quantity": 50}]
L5995	[{"item": 3, "quantity": 16}, {"item": 9, "quantity": 6}, {"item": 31, "quantity": 168}]
L5996	[{"item": 3, "quantity": 25}, {"item": 29, "quantity": 130}]
L5999	[{"item": 1, "quantity": 12}]
L6001	[{"item": 19, "quantity": 48}]
L6004	[{"item": 24, "quantity": 8}, {"item": 21, "quantity": 80}]
L6005	[{"item": 19, "quantity": 43}]
L6007	[{"item": 25, "quantity": 54}, {"item": 29, "quantity": 54}]
L6008	[{"item": 22, "quantity": 3}, {"item": 19, "quantity": 6}]
L6011	[{"item": 25, "quantity": 25}, {"item": 19, "quantity": 15}]
L6012	[{"item": 19, "quantity": 15}, {"item": 29, "quantity": 78}]
L6014	[{"item": 22, "quantity": 4}]
L6015	[{"item": 25, "quantity": 16}, {"item": 17, "quantity": 68}]
L6018	[{"item": 17, "quantity": 123}]
L6020	[{"item": 17, "quantity": 55}, {"item": 28, "quantity": 136}]
L6021	[{"item": 19, "quantity": 22}]
L6022	[{"item": 17, "quantity": 75}]
L6026	[{"item": 17, "quantity": 65}]
L6029	[{"item": 19, "quantity": 9}]
L6030	[{"item": 25, "quantity": 50}, {"item": 17, "quantity": 93}]
L6033	[{"item": 27, "quantity": 90}, {"item": 18, "quantity": 6}]
L6034	[{"item": 18, "quantity": 5}, {"item": 29, "quantity": 58}, {"item": 17, "quantity": 48}]
L6037	[{"item": 17, "quantity": 40}, {"item": 26, "quantity": 27}]
L6038	[{"item": 25, "quantity": 48}]
L6041	[{"item": 3, "quantity": 17}]
L6042	[{"item": 25, "quantity": 100}, {"item": 24, "quantity": 2}]
L6044	[{"item": 9, "quantity": 12}, {"item": 8, "quantity": 40}]
L6045	[{"item": 24, "quantity": 1}, {"item": 19, "quantity": 12}, {"item": 26, "quantity": 24}]
L6048	[{"item": 27, "quantity": 63}, {"item": 25, "quantity": 12}]
L6050	[{"item": 20, "quantity": 17}, {"item": 26, "quantity": 48}]
L6051	[{"item": 22, "quantity": 2}, {"item": 25, "quantity": 120}]
L6052	[{"item": 17, "quantity": 134}]
L6056	[{"item": 18, "quantity": 4}, {"item": 25, "quantity": 25}]
L6059	[{"item": 16, "quantity": 3}]
L6060	[{"item": 18, "quantity": 1}, {"item": 22, "quantity": 4}, {"item": 19, "quantity": 8}]
L6063	[{"item": 21, "quantity": 30}, {"item": 19, "quantity": 32}]
L6064	[{"item": 24, "quantity": 7}]
L6066	[{"item": 29, "quantity": 50}]
L6067	[{"item": 17, "quantity": 40}, {"item": 25, "quantity": 40}, {"item": 19, "quantity": 30}]
L6068	[{"item": 25, "quantity": 42}]
L6071	[{"item": 18, "quantity": 4}, {"item": 29, "quantity": 75}]
L6073	[{"item": 25, "quantity": 24}, {"item": 19, "quantity": 18}]
L6077	[{"item": 25, "quantity": 62}]
L6078	[{"item": 24, "quantity": 6}, {"item": 25, "quantity": 33}]
L6079	[{"item": 9, "quantity": 30}]
L6081	[{"item": 19, "quantity": 20}, {"item": 20, "quantity": 10}, {"item": 17, "quantity": 28}]
L6084	[{"item": 3, "quantity": 15}]
L6085	[{"item": 20, "quantity": 67}]
L6086	[{"item": 26, "quantity": 35}, {"item": 16, "quantity": 18}]
L6089	[{"item": 3, "quantity": 20}, {"item": 19, "quantity": 20}, {"item": 25, "quantity": 20}]
L6091	[{"item": 25, "quantity": 44}]
L6094	[{"item": 29, "quantity": 27}, {"item": 25, "quantity": 14}]
L6095	[{"item": 19, "quantity": 27}, {"item": 29, "quantity": 39}]
L6097	[{"item": 3, "quantity": 5}]
L6099	[{"item": 3, "quantity": 32}, {"item": 1, "quantity": 64}, {"item": 2, "quantity": 64}]
L6102	[{"item": 17, "quantity": 12}, {"item": 24, "quantity": 4}]
L6103	[{"item": 27, "quantity": 156}]
L6104	[{"item": 18, "quantity": 4}, {"item": 25, "quantity": 54}]
L6107	[{"item": 18, "quantity": 7}]
L6110	[{"item": 17, "quantity": 60}, {"item": 19, "quantity": 45}]
L6113	[{"item": 28, "quantity": 70}]
L6114	[{"item": 17, "quantity": 32}]
L6116	[{"item": 17, "quantity": 152}]
L6119	[{"item": 29, "quantity": 64}, {"item": 18, "quantity": 4}]
L6121	[{"item": 17, "quantity": 55}, {"item": 28, "quantity": 60}]
L6124	[{"item": 25, "quantity": 140}]
L6125	[{"item": 3, "quantity": 45}]
L6127	[{"item": 18, "quantity": 3}, {"item": 25, "quantity": 18}]
L6130	[{"item": 25, "quantity": 60}]
L6135	[{"item": 16, "quantity": 40}]
L6137	[{"item": 19, "quantity": 18}, {"item": 21, "quantity": 18}]
L6140	[{"item": 24, "quantity": 1}, {"item": 22, "quantity": 2}]
L6142	[{"item": 27, "quantity": 216}]
L6143	[{"item": 1, "quantity": 10}, {"item": 17, "quantity": 20}, {"item": 3, "quantity": 8}]
L6146	[{"item": 18, "quantity": 7}]
L6147	[{"item": 18, "quantity": 6}, {"item": 8, "quantity": 8}, {"item": 7, "quantity": 8}]
L6149	[{"item": 25, "quantity": 15}, {"item": 19, "quantity": 16}]
L6150	[{"item": 25, "quantity": 111}]
L6153	[{"item": 25, "quantity": 8}]
L6155	[{"item": 19, "quantity": 8}, {"item": 5, "quantity": 100}]
L6156	[{"item": 3, "quantity": 4}]
L6157	[{"item": 29, "quantity": 30}]
L6160	[{"item": 27, "quantity": 60}, {"item": 19, "quantity": 30}]
L6162	[{"item": 25, "quantity": 60}]
L6163	[{"item": 22, "quantity": 4}, {"item": 27, "quantity": 142}, {"item": 24, "quantity": 1}]
L6164	[{"item": 25, "quantity": 20}, {"item": 19, "quantity": 10}]
L6167	[{"item": 17, "quantity": 60}]
L6168	[{"item": 17, "quantity": 115}]
L6170	[{"item": 24, "quantity": 4}, {"item": 19, "quantity": 36}]
L6172	[{"item": 24, "quantity": 2}]
L6173	[{"item": 26, "quantity": 50}]
L6177	[{"item": 18, "quantity": 5}]
L6178	[{"item": 17, "quantity": 20}]
L6180	[{"item": 9, "quantity": 4}]
L6181	[{"item": 28, "quantity": 96}]
L6182	[{"item": 3, "quantity": 6}, {"item": 17, "quantity": 35}]
L6184	[{"item": 28, "quantity": 50}]
L6187	[{"item": 31, "quantity": 120}, {"item": 17, "quantity": 92}]
L6190	[{"item": 3, "quantity": 16}]
L6195	[{"item": 18, "quantity": 6}, {"item": 3, "quantity": 13}]
L6197	[{"item": 18, "quantity": 7}, {"item": 27, "quantity": 81}]
L6200	[{"item": 29, "quantity": 32}]
L6201	[{"item": 25, "quantity": 51}]
L6204	[{"item": 17, "quantity": 88}, {"item": 27, "quantity": 54}, {"item": 28, "quantity": 18}]
L6206	[{"item": 25, "quantity": 160}]
L6207	[{"item": 17, "quantity": 32}]
L6208	[{"item": 17, "quantity": 14}, {"item": 25, "quantity": 30}]
L6212	[{"item": 19, "quantity": 10}, {"item": 21, "quantity": 30}]
L6215	[{"item": 28, "quantity": 32}, {"item": 17, "quantity": 24}]
L6217	[{"item": 16, "quantity": 18}]
L6220	[{"item": 21, "quantity": 9}]
L6222	[{"item": 22, "quantity": 4}, {"item": 26, "quantity": 36}]
L6224	[{"item": 17, "quantity": 25}, {"item": 25, "quantity": 60}]
L6227	[{"item": 18, "quantity": 20}, {"item": 3, "quantity": 16}]
L6230	[{"item": 25, "quantity": 63}, {"item": 32, "quantity": 120}]
L6232	[{"item": 19, "quantity": 18}]
L6233	[{"item": 17, "quantity": 85}, {"item": 2, "quantity": 150}]
L6234	[{"item": 19, "quantity": 30}]
L6237	[{"item": 25, "quantity": 24}]
L6240	[{"item": 29, "quantity": 20}, {"item": 19, "quantity": 15}, {"item": 25, "quantity": 70}]
L6245	[{"item": 17, "quantity": 35}, {"item": 18, "quantity": 5}]
L6247	[{"item": 3, "quantity": 24}, {"item": 17, "quantity": 90}]
L6250	[{"item": 3, "quantity": 29}, {"item": 17, "quantity": 44}]
L6253	[{"item": 3, "quantity": 18}, {"item": 17, "quantity": 44}]
L6257	[{"item": 4, "quantity": 80}, {"item": 5, "quantity": 80}, {"item": 1, "quantity": 80}]
L6263	[{"item": 20, "quantity": 8}]
L6265	[{"item": 1, "quantity": 17}, {"item": 25, "quantity": 17}]
L6268	[{"item": 26, "quantity": 72}, {"item": 29, "quantity": 55}]
L6269	[{"item": 22, "quantity": 2}, {"item": 27, "quantity": 96}]
L6271	[{"item": 20, "quantity": 10}]
L6272	[{"item": 18, "quantity": 2}, {"item": 26, "quantity": 30}, {"item": 20, "quantity": 25}]
L6277	[{"item": 31, "quantity": 50}]
L6278	[{"item": 22, "quantity": 2}, {"item": 24, "quantity": 1}]
L6280	[{"item": 17, "quantity": 8}]
L6283	[{"item": 28, "quantity": 42}, {"item": 19, "quantity": 60}]
L6284	[{"item": 31, "quantity": 15}, {"item": 25, "quantity": 30}]
L6285	[{"item": 25, "quantity": 36}, {"item": 19, "quantity": 30}]
L6287	[{"item": 25, "quantity": 10}, {"item": 24, "quantity": 4}]
L6288	[{"item": 18, "quantity": 9}]
L6289	[{"item": 3, "quantity": 10}]
L6291	[{"item": 22, "quantity": 1}, {"item": 25, "quantity": 20}, {"item": 26, "quantity": 30}]
L6294	[{"item": 25, "quantity": 45}]
L6296	[{"item": 17, "quantity": 51}, {"item": 19, "quantity": 15}]
L6300	[{"item": 19, "quantity": 18}]
L6301	[{"item": 17, "quantity": 42}]
L6303	[{"item": 19, "quantity": 9}, {"item": 25, "quantity": 48}]
L6305	[{"item": 19, "quantity": 8}]
L6313	[{"item": 25, "quantity": 62}, {"item": 32, "quantity": 50}, {"item": 18, "quantity": 5}]
L6316	[{"item": 17, "quantity": 50}]
L6318	[{"item": 4, "quantity": 50}, {"item": 2, "quantity": 66}, {"item": 19, "quantity": 80}]
L6320	[{"item": 17, "quantity": 137}]
L6321	[{"item": 28, "quantity": 54}]
L6324	[{"item": 25, "quantity": 44}]
L6326	[{"item": 26, "quantity": 12}, {"item": 16, "quantity": 12}]
L6331	[{"item": 18, "quantity": 16}, {"item": 9, "quantity": 16}]
L6332	[{"item": 17, "quantity": 45}, {"item": 28, "quantity": 53}]
L6334	[{"item": 19, "quantity": 20}, {"item": 17, "quantity": 25}]
L6335	[{"item": 17, "quantity": 90}, {"item": 24, "quantity": 3}]
L6337	[{"item": 19, "quantity": 25}]
L6340	[{"item": 21, "quantity": 10}, {"item": 22, "quantity": 2}]
L6344	[{"item": 25, "quantity": 68}]
L6345	[{"item": 24, "quantity": 2}]
L6347	[{"item": 18, "quantity": 3}]
L6348	[{"item": 29, "quantity": 122}]
L6349	[{"item": 22, "quantity": 1}, {"item": 18, "quantity": 9}]
L6351	[{"item": 19, "quantity": 18}]
L6353	[{"item": 3, "quantity": 10}, {"item": 19, "quantity": 40}]
L6354	[{"item": 29, "quantity": 99}]
L6364	[{"item": 18, "quantity": 9}]
L6365	[{"item": 25, "quantity": 40}, {"item": 17, "quantity": 24}]
L6367	[{"item": 20, "quantity": 1}, {"item": 19, "quantity": 40}]
L6369	[{"item": 25, "quantity": 81}]
L6372	[{"item": 8, "quantity": 75}]
L6373	[{"item": 17, "quantity": 62}]
L6375	[{"item": 24, "quantity": 4}, {"item": 29, "quantity": 195}]
L6376	[{"item": 22, "quantity": 2}, {"item": 31, "quantity": 50}]
L6377	[{"item": 25, "quantity": 28}, {"item": 19, "quantity": 18}]
L6378	[{"item": 19, "quantity": 36}]
L6381	[{"item": 22, "quantity": 4}, {"item": 26, "quantity": 40}, {"item": 24, "quantity": 2}]
L6383	[{"item": 25, "quantity": 50}]
L6386	[{"item": 17, "quantity": 81}]
L6388	[{"item": 18, "quantity": 6}, {"item": 19, "quantity": 19}]
L6389	[{"item": 27, "quantity": 123}]
L6392	[{"item": 18, "quantity": 2}, {"item": 26, "quantity": 48}, {"item": 16, "quantity": 25}]
L6393	[{"item": 25, "quantity": 75}]
L6394	[{"item": 20, "quantity": 12}]
L6397	[{"item": 19, "quantity": 35}, {"item": 25, "quantity": 50}]
L6400	[{"item": 9, "quantity": 5}]
L6404	[{"item": 25, "quantity": 100}]
L6405	[{"item": 20, "quantity": 10}]
L6407	[{"item": 21, "quantity": 15}, {"item": 31, "quantity": 36}]
L6408	[{"item": 17, "quantity": 82}]
L6409	[{"item": 16, "quantity": 100}]
L6413	[{"item": 25, "quantity": 67}]
L6415	[{"item": 19, "quantity": 44}]
L6418	[{"item": 21, "quantity": 6}]
L6421	[{"item": 22, "quantity": 8}, {"item": 17, "quantity": 108}]
L6422	[{"item": 17, "quantity": 34}]
L6423	[{"item": 25, "quantity": 56}]
L6426	[{"item": 17, "quantity": 15}]
L6431	[{"item": 25, "quantity": 20}]
L6434	[{"item": 25, "quantity": 24}]
L6436	[{"item": 16, "quantity": 10}, {"item": 19, "quantity": 21}, {"item": 29, "quantity": 35}]
L6438	[{"item": 17, "quantity": 168}]
L6440	[{"item": 24, "quantity": 4}]
L6442	[{"item": 31, "quantity": 15}]
L6443	[{"item": 31, "quantity": 78}]
L6444	[{"item": 8, "quantity": 50}]
L6445	[{"item": 17, "quantity": 32}, {"item": 19, "quantity": 5}]
L6447	[{"item": 22, "quantity": 2}, {"item": 3, "quantity": 8}, {"item": 21, "quantity": 10}]
L6450	[{"item": 31, "quantity": 100}, {"item": 24, "quantity": 1}]
L6453	[{"item": 30, "quantity": 1}, {"item": 24, "quantity": 4}, {"item": 28, "quantity": 18}]
L6454	[{"item": 17, "quantity": 161}]
L6456	[{"item": 17, "quantity": 32}, {"item": 19, "quantity": 12}]
L6459	[{"item": 17, "quantity": 60}]
L6461	[{"item": 17, "quantity": 12}]
L6464	[{"item": 19, "quantity": 25}, {"item": 29, "quantity": 17}, {"item": 25, "quantity": 65}]
L6466	[{"item": 29, "quantity": 100}]
L6469	[{"item": 17, "quantity": 97}]
L6472	[{"item": 19, "quantity": 16}, {"item": 29, "quantity": 44}]
L6473	[{"item": 18, "quantity": 1}, {"item": 22, "quantity": 2}]
L6474	[{"item": 19, "quantity": 45}, {"item": 24, "quantity": 9}]
L6477	[{"item": 19, "quantity": 14}, {"item": 9, "quantity": 30}]
L6479	[{"item": 17, "quantity": 60}, {"item": 27, "quantity": 36}]
L6480	[{"item": 29, "quantity": 172}]
L6481	[{"item": 25, "quantity": 50}, {"item": 24, "quantity": 2}, {"item": 16, "quantity": 40}]
L6483	[{"item": 3, "quantity": 13}, {"item": 17, "quantity": 40}]
L6486	[{"item": 25, "quantity": 40}]
L6490	[{"item": 31, "quantity": 75}, {"item": 17, "quantity": 54}]
L6494	[{"item": 25, "quantity": 21}, {"item": 19, "quantity": 20}]
L6495	[{"item": 24, "quantity": 5}, {"item": 19, "quantity": 9}]
L6497	[{"item": 25, "quantity": 54}]
